feedback_times,feedbackType,action_time
0.0,-1.0,0.009309090702099322
0.0,1.0,0.007268266423632176
0.08716163738118188,-1.0,0.020979210631134546
0.05542617064180286,-1.0,0.11265427174601031
0.1999142732219188,1.0,0.009224217102802707
0.07615142929153149,1.0,0.007835376384087215
0.16162634989001673,-1.0,0.0070637982070321905
0.00900312464530359,1.0,0.013818965147776311
0.17511186962180758,-1.0,0.004378706150727417
0.10358795877630951,1.0,0.006022167668049847
0.08549134965805602,-1.0,0.0032599177939973568
0.10425059751237031,1.0,0.005999020322831891
0.04134920476543125,1.0,0.0061880569762847405
0.22038214327169056,1.0,0.09320278590135463
0.011883686423547202,1.0,0.005049979165206018
0.12192552743495039,-1.0,0.007461160968799705
0.1481326156284421,1.0,0.008525938853349782
0.2016009900046148,-1.0,0.0030284443414175756
0.041916007320658144,-1.0,0.011538951635176101
0.12991278856339938,1.0,0.005007542365893782
0.1426562624378666,-1.0,0.004671905858938469
0.04863275450889548,-1.0,0.004590890150385054
0.02792118674214278,-1.0,0.008147865546957234
0.23176200520170498,1.0,0.006816893191480711
0.025005028668162455,-1.0,0.004772211022162911
0.2821335018486096,1.0,0.04364046169480412
0.004203101073764481,1.0,0.011508088508594552
0.029791361356724944,1.0,0.0028201182342278983
0.1288695432805964,1.0,0.005412620909415234
0.03579344445359539,1.0,0.00874583863464513
0.18691067257090022,-1.0,0.12316702441112087
0.03173546673938127,1.0,0.11748049324580818
0.05177070488709412,1.0,0.009312948595049731
0.07017398978402256,1.0,0.0018132087135154674
0.1411831234296057,1.0,0.006280646359131325
0.021815052934651136,1.0,0.003753727829132069
0.0854776587750794,1.0,0.005767546871517446
0.021489209919817176,-1.0,0.011295904510647421
0.14667316750315296,-1.0,0.0033872281951873176
0.0840127342965985,1.0,0.0010917831183062136
0.0025081697612866494,1.0,0.003568549066923509
0.09549664693723203,1.0,0.0833111536725808
0.13460876142432077,1.0,0.0012923934445182594
0.042397926401427366,1.0,0.0044558639708523
0.0954281925223538,-1.0,0.006998214064556798
0.07788195689974742,-1.0,0.1352036439753174
0.1027473385615596,-1.0,0.007005929846497138
0.06375296566806798,-1.0,0.0021642767851189947
0.012132860493718756,1.0,0.008089997185525262
0.2488153690371503,1.0,0.007353140026470416
0.32400022199055023,1.0,0.009532848376970073
0.07966998621647958,1.0,0.009444116886724122
0.12698567778303416,1.0,0.0065275513772968105
0.02388511444068875,1.0,0.006215062215618664
0.006481264001043097,1.0,0.005401047238791978
0.07174296497312327,1.0,0.00850279151085767
0.15202630274693263,1.0,0.007484308317162362
0.08454394055608105,1.0,0.00717567704639079
0.21292335022612963,1.0,0.0069982140657322235
0.13673632463884755,1.0,0.0031133179440485806
0.08585278896862669,-1.0,0.003583980632194524
0.020843000243314647,1.0,0.0019096559878727856
0.20188028401733615,1.0,0.006674151231654527
0.2593162762800749,-1.0,0.009166348743854259
0.33760074513933813,-1.0,0.0007831518495126891
0.12454870061323065,1.0,0.07486623052604542
0.08288186736275516,1.0,0.0
0.05382981368673989,1.0,0.0048493688432614665
0.2589247170269593,1.0,0.0056132312387018055
0.13201297001196877,-1.0,0.0045330217908434115
0.05697871677132205,-1.0,0.008853859582838387
0.11616440387846039,1.0,0.001547014245610915
0.028394891293137547,-1.0,0.005705820620363097
0.14454560428862617,1.0,0.00323291256274448
0.20656804234845394,1.0,0.0021527031148246825
0.005673501905456568,1.0,0.14143027986727416
0.06578195452518476,-1.0,0.011010420588319646
0.3386001795966098,1.0,0.004590890154762196
0.0006790677956280966,-1.0,0.004008348631093136
0.29656643068236566,-1.0,0.002858697147258507
0.07659775207655706,1.0,0.005111705424619043
0.1273580698000043,1.0,0.00876512809344769
0.172847397577508,1.0,0.0026117921309658067
0.039298310495550215,-1.0,0.002569355331366293
0.16707258313805595,1.0,0.004768353136227771
0.13046590023564897,1.0,0.0019019402083315408
0.12209803256044705,-1.0,0.005948867747429028
0.14659376038189675,1.0,0.004046927540922027
0.2417344443617464,1.0,0.0002893418184799029
0.01062412518971212,1.0,6.944203805515796e-05
0.2282434482767659,1.0,0.0016280299559779058
0.04761415281544501,1.0,0.0011265041409390141
0.42081393187012317,1.0,0.002877986603102766
0.07675930449568824,1.0,0.009972647941929164
0.07857197740176458,-1.0,0.008259744388831154
0.1346060232477131,1.0,0.07980433086257473
0.03449281057084086,1.0,0.0037537278345311296
0.10682174533533373,1.0,0.006500546145178812
0.17077459789487381,1.0,0.007920249991157863
0.2933353822999307,-1.0,0.0026850920594933335
0.09159474528895872,1.0,0.002542350096831656
0.07751504123598707,-1.0,0.004336269358691412
0.03260894507327583,-1.0,0.01438993300663674
