feedback_times,probabilityLeft,contrastLeft,feedbackType,goCue_times,stimOn_times,choice,rewardVolume,firstMovement_times,contrastRight,response_times
261.57500000000005,0.5,,-1.0,261.45400000000006,261.42170000000004,1.0,0.0,261.4097985741177,0.0,261.5427
265.56510000000003,0.5,,1.0,265.30850000000004,265.2796,-1.0,1.5,265.3597985741173,1.0,265.56500000000005
268.50210000000004,0.5,1.0,1.0,268.19380000000007,268.16310000000004,1.0,1.5,268.26579857411696,,268.50200000000007
272.1803,0.5,,-1.0,271.2032,271.1715,1.0,0.0,271.99479857411654,0.125,272.15090000000004
276.68760000000003,0.5,1.0,1.0,276.4138,276.3797,1.0,1.5,276.4737985741161,,276.6875
280.6505,0.5,0.125,1.0,280.2993,280.26300000000003,1.0,1.5,280.36679857411565,,280.65040000000005
283.6023,0.5,1.0,1.0,283.2087,283.1793,1.0,1.5,283.30079857411533,,283.60220000000004
286.6048,0.5,1.0,1.0,286.386,286.3546,1.0,1.5,286.32579857411497,,286.6047
290.6206,0.5,,-1.0,289.1594,289.1293,1.0,0.0,290.12779857411454,1.0,290.5786
294.5812,0.5,0.25,1.0,294.19800000000004,294.17100000000005,1.0,1.5,294.3667985741141,,294.58110000000005
297.3244,0.5,0.125,-1.0,297.18340000000006,297.15430000000003,-1.0,0.0,297.1527985741138,,297.25880000000006
301.999,0.5,,-1.0,300.82180000000005,300.78760000000005,1.0,0.0,301.8347985741133,1.0,301.9712
306.36100000000005,0.5,,1.0,306.1555,306.12910000000005,-1.0,1.5,306.1867985741128,1.0,306.3609
309.40500000000003,0.5,0.125,1.0,309.0088,308.97920000000005,1.0,1.5,309.24179857411247,,309.4049
312.79530000000005,0.5,,-1.0,311.93420000000003,311.90400000000005,1.0,0.0,312.5987985741121,0.25,312.76490000000007
317.9066,0.5,0.0,1.0,317.6929,317.6622,1.0,1.5,317.7027985741115,,317.9065
320.9309,0.5,,1.0,320.46220000000005,320.42850000000004,-1.0,1.5,320.5237985741112,1.0,320.93080000000003
324.5487,0.5,,-1.0,323.5276,323.49530000000004,1.0,0.0,324.1577985741108,0.0625,324.51480000000004
329.14290000000005,0.5,0.125,1.0,328.9823,328.9537,1.0,1.5,328.9147985741103,,329.1428
332.85570000000007,0.5,,-1.0,331.74760000000003,331.72030000000007,1.0,0.0,332.6127985741099,0.0625,332.82630000000006
338.4816,0.5,0.125,1.0,337.4173,337.38680000000005,1.0,1.5,338.29379857410925,,338.48150000000004
341.50610000000006,0.5,0.25,1.0,341.12270000000007,341.0948,1.0,1.5,341.2937985741089,,341.50600000000003
346.6854,0.5,,-1.0,344.16810000000004,344.13680000000005,1.0,0.0,345.0777985741085,0.125,346.6548
351.6044,0.5,,1.0,351.323,351.2943,-1.0,1.5,351.40379857410784,0.125,351.6043
355.7506,0.5,0.0625,1.0,355.5565,355.52810000000005,1.0,1.5,355.58479857410737,,355.75050000000005
360.0991,0.5,,-1.0,358.60190000000006,358.56980000000004,1.0,0.0,359.88779857410685,0.0,360.06680000000006
364.71770000000004,0.5,0.125,1.0,364.34060000000005,364.3109,1.0,1.5,364.59579857410637,,364.7176
367.85470000000004,0.5,0.125,1.0,367.442,367.41080000000005,1.0,1.5,367.67479857410603,,367.8546
371.11240000000004,0.5,,-1.0,370.50730000000004,370.4778,1.0,0.0,370.90479857410566,0.0625,371.0817
375.03060000000005,0.5,1.0,1.0,374.72180000000003,374.69430000000006,1.0,1.5,374.7307985741052,,375.0305000000001
379.9685,0.5,,-1.0,377.6592,377.6277,1.0,0.0,379.6697985741047,0.125,379.9389
383.7662,0.5,0.0625,1.0,383.68190000000004,383.6526,1.0,1.5,383.5637985741043,,383.7661
387.34940000000006,0.5,0.0,1.0,386.4073,386.3772,1.0,1.5,387.14879857410386,,387.3493
390.2438,0.5,0.125,1.0,390.0407,390.0101,1.0,1.5,390.04979857410353,,390.2437
393.37050000000005,0.5,0.0625,1.0,393.0221,392.9938,1.0,1.5,393.1357985741032,,393.3704000000001
396.3906,0.5,0.0,1.0,396.1315,396.1023,1.0,1.5,396.1487985741029,,396.39050000000003
400.03010000000006,0.5,0.0,1.0,399.60490000000004,399.56890000000004,1.0,1.5,399.7957985741025,,400.03000000000003
403.0647,0.5,0.25,1.0,402.7293,402.70210000000003,1.0,1.5,402.75779857410214,,403.06460000000004
407.60290000000003,0.5,,-1.0,406.78180000000003,406.752,1.0,0.0,407.38879857410166,0.0625,407.5704
413.4656,0.8,0.0,-1.0,412.70050000000003,412.6686,-1.0,0.0,413.328798574101,,413.4368
418.61620000000005,0.8,1.0,1.0,418.3512,418.31820000000005,1.0,1.5,418.41379857410044,,418.6161
422.59540000000004,0.8,,1.0,422.11660000000006,422.08520000000004,-1.0,1.5,422.43879857409996,0.125,422.5953
425.82830000000007,0.8,0.125,1.0,425.1820000000001,425.15170000000006,1.0,1.5,425.67079857409965,,425.82820000000004
429.632,0.8,0.0625,1.0,428.5634,428.5349,1.0,1.5,428.44279857409936,,429.63190000000003
432.56440000000003,0.8,0.0,1.0,432.2649,432.23470000000003,1.0,1.5,432.10679857409895,,432.5643
436.37230000000005,0.8,1.0,1.0,436.04630000000003,436.01820000000004,1.0,1.5,436.13479857409845,,436.3722
439.4216,0.8,1.0,1.0,439.1397,439.10920000000004,1.0,1.5,439.19979857409817,,439.42150000000004
443.26610000000005,0.8,0.0,1.0,443.02920000000006,443.0013,1.0,1.5,442.90979857409775,,443.266
446.8004,0.8,0.0625,1.0,446.07860000000005,446.0513,1.0,1.5,446.59279857409734,,446.80030000000005
451.2479,0.8,0.0,1.0,450.2641,450.2345,1.0,1.5,451.11679857409683,,451.2478
455.5787,0.8,,-1.0,454.44560000000007,454.4177,1.0,0.0,455.3037985740964,0.0625,455.54690000000005
459.71360000000004,0.8,0.0625,1.0,459.20020000000005,459.1675,1.0,1.5,459.4927985740959,,459.71350000000007
463.9361,0.8,0.25,1.0,463.5697,463.54240000000004,1.0,1.5,463.73779857409545,,463.93600000000004
468.03530000000006,0.8,0.25,1.0,467.58720000000005,467.5586,1.0,1.5,467.807798574095,,468.03520000000003
471.23,0.8,0.0,1.0,470.85260000000005,470.8256,1.0,1.5,470.99579857409464,,471.22990000000004
474.1435,0.8,0.125,1.0,473.886,473.8507,1.0,1.5,473.89079857409433,,474.14340000000004
477.9315,0.8,0.0625,1.0,477.63140000000004,477.60050000000007,1.0,1.5,477.6467985740939,,477.93140000000005
481.00480000000005,0.8,,-1.0,480.61280000000005,480.58380000000005,1.0,0.0,480.6747985740936,0.0625,480.9757000000001
485.05870000000004,0.8,0.25,1.0,484.73830000000004,484.70810000000006,1.0,1.5,484.81879857409314,,485.0586
488.9861000000001,0.8,,1.0,488.5477000000001,488.5171,-1.0,1.5,488.7227985740927,1.0,488.98600000000005
492.2855,0.8,0.125,1.0,491.7131,491.6837,1.0,1.5,492.03079857409233,,492.2854
499.01200000000006,0.8,,-1.0,494.93850000000003,494.9080000000001,1.0,0.0,495.7267985740919,0.0625,498.97730000000007
503.39820000000003,0.8,0.125,1.0,503.17350000000005,503.14150000000006,1.0,1.5,503.2147985740911,,503.39810000000006
508.0945,0.8,0.0,1.0,507.5311,507.50000000000006,1.0,1.5,507.8367985740906,,508.0944
512.4978,0.8,1.0,1.0,512.1926,512.158,1.0,1.5,512.2577985740901,,512.4977
518.336,0.8,0.125,1.0,514.9780000000001,514.9497,1.0,1.5,515.2327985740898,,518.3359
522.0117,0.8,1.0,1.0,521.6638,521.6331,1.0,1.5,521.7447985740891,,522.0116
525.1324999999999,0.8,0.0625,1.0,524.7212,524.6905999999999,1.0,1.5,524.9087985740888,,525.1324
530.4682,0.8,0.0,1.0,529.0107,528.9828,1.0,1.5,530.1687985740882,,530.4681
533.193,0.2,,1.0,533.0522,533.0244,-1.0,1.5,533.0027985740878,0.0625,533.1929
540.8031,0.2,,-1.0,537.9258,537.891,1.0,0.0,540.593798574087,0.0,540.7733
544.7712999999999,0.2,,1.0,544.4635999999999,544.4323999999999,-1.0,1.5,544.5407985740866,1.0,544.7711999999999
548.1899999999999,0.2,,-1.0,547.3128999999999,547.2824999999999,1.0,0.0,547.9237985740863,0.0,548.1606999999999
553.7008,0.2,,1.0,552.4316,552.3904,-1.0,1.5,553.5957985740856,0.0625,553.7007
557.4656,0.2,,1.0,557.1890999999999,557.1569,-1.0,1.5,557.2467985740852,0.25,557.4654999999999
561.1582,0.2,,1.0,560.0585,560.024,-1.0,1.5,560.8237985740848,0.0625,561.1581
564.1838999999999,0.2,,1.0,563.872,563.8402,-1.0,1.5,563.9477985740845,0.25,564.1837999999999
567.1061,0.2,,1.0,566.7452999999999,566.7152,-1.0,1.5,566.8157985740842,1.0,567.106
571.7546,0.2,,1.0,571.5149,571.482,-1.0,1.5,571.5337985740837,1.0,571.7545
575.2262,0.2,,1.0,574.3442,574.3153,-1.0,1.5,574.6777985740832,0.25,575.2261
577.9138,0.2,,1.0,577.7736,577.7399,-1.0,1.5,577.7387985740829,1.0,577.9137
590.6051,0.2,,1.0,580.6189999999999,580.5898,-1.0,1.5,590.4497985740816,1.0,590.6049999999999
597.9012,0.2,,1.0,593.5616,593.5316,-1.0,1.5,597.7457985740807,0.125,597.9011
605.0436,0.2,,1.0,600.5674,600.5391,-1.0,1.5,604.9327985740799,0.0,605.0435
608.7184,0.2,0.0,-1.0,608.1934,608.1645,-1.0,0.0,608.4947985740796,,608.6859000000001
612.5772999999999,0.2,,1.0,612.2599,612.231,-1.0,1.5,612.3697985740791,1.0,612.5772
617.2683,0.2,,1.0,615.3572,615.3226999999999,-1.0,1.5,617.1607985740786,0.0625,617.2682
622.7441,0.2,0.0,-1.0,619.9388,619.9058,-1.0,0.0,622.365798574078,,622.7165
626.8057,0.2,,1.0,626.5096,626.4807999999999,-1.0,1.5,626.5607985740776,1.0,626.8055999999999
633.5765,0.2,0.125,-1.0,629.5509999999999,629.5218,-1.0,0.0,633.4017985740768,,633.5475
637.3779,0.2,,1.0,637.2859,637.2556,-1.0,1.5,637.2567985740764,1.0,637.3778
641.0589,0.2,,1.0,640.5432999999999,640.5138,-1.0,1.5,640.882798574076,1.0,641.0588
647.4771,0.2,,1.0,643.8367,643.8056,-1.0,1.5,647.3907985740752,0.0,647.477
650.7615999999999,0.2,,1.0,650.3264999999999,650.2882999999999,-1.0,1.5,650.6387985740749,0.25,650.7615
654.1868999999999,0.2,,1.0,653.4438999999999,653.4134999999999,-1.0,1.5,653.7107985740746,0.0,654.1868
657.1102999999999,0.2,0.0,-1.0,656.7852999999999,656.7548999999999,-1.0,0.0,656.8307985740743,,657.0799999999999
660.9883,0.2,,1.0,660.8277999999999,660.7968999999999,-1.0,1.5,660.8377985740738,1.0,660.9881999999999
664.7118,0.2,,1.0,663.7891999999999,663.7549,-1.0,1.5,664.4977985740734,0.0,664.7117
671.2773,0.2,,1.0,667.3506,667.3210999999999,-1.0,1.5,669.0597985740729,0.0,671.2772
